Partner University,PU Course Code,PU Course Title,NUS Course Code
Hong Kong Uni of Sci & Tech,LIFS 4150,Plant Biotechnology,LSM3991
Hong Kong Uni of Sci & Tech,LIFS 4550,Biochemistry of Nutrition,LSM3991
Hong Kong Uni of Sci & Tech,LIFS 4800,Epigenetics and Chromosome Biology,LSM3991
Hong Kong Uni of Sci & Tech,LIFS 4630,Advanced Topics in Biotechnology,LSM4218
Boston College,ECON 2228-05,Econometric Methods,ST3131
Hong Kong Uni of Sci & Tech,MATH 2121,Linear Algebra,MA2001
Hong Kong Uni of Sci & Tech,MATH 2111,Matrix Algebra and its Applications,MA2001
Hong Kong Uni of Sci & Tech,MATH 2011,Introduction To Multivariable Calculus,MA2104
Hong Kong Uni of Sci & Tech,MATH 2023,Multivariable Calculus,MA2104
Hong Kong Uni of Sci & Tech,MATH 2351,Introduction to Differential Equations,MA3220
Hong Kong Uni of Sci & Tech,MATH 3332,Data Analytic Tools,MA4991
Hong Kong Uni of Sci & Tech,ISOM 3360,Data Mining for Business Analytics,MA4991
Hong Kong Uni of Sci & Tech,MATH 2511,Fundamentals of Actuarial Mathematics,QF1100
Hong Kong Uni of Sci & Tech,MATH 2411,Applied Statistics,ST1131
Hong Kong Uni of Sci & Tech,MATH 2421,Probability,ST2131
Boston College,UNAS 1016,Designing your career,SX2996
Hong Kong Uni of Sci & Tech,MATH 3423,Statistical Inference,ST2132
Hong Kong Uni of Sci & Tech,ELEC 2600,Probability and Random Processes in Engineering,ST2334
Hong Kong Uni of Sci & Tech,MATH 3424,Regression Analysis,ST3131
Hong Kong Uni of Sci & Tech,MATH 342,Regression Analysis,ST3131
Hong Kong Uni of Sci & Tech,MATH 3425,Stochastic Modeling,ST3236
Hong Kong Uni of Sci & Tech,MATH 3426,Sampling,ST3239
Hong Kong Uni of Sci & Tech,MATH 4427,Loss Models and their Applications,ST3246
Hong Kong Uni of Sci & Tech,ISOM 4720,imulation in Business and Management,ST3247
Hong Kong Uni of Sci & Tech,ISOM 3710,Business Modeling and Optimization,ST3991
Hong Kong Uni of Sci & Tech,MATH 4423,Nonparametric Statistics,ST4232
Boston College,BZAN 1038-01,Excel for business analytics,SX2996
Hong Kong Uni of Sci & Tech,MATH 3427,Bayesian Statistics,ST4234
Hong Kong Uni of Sci & Tech,MATH 4512,Fundamentals of Mathematical Finance,ST4245
Hong Kong Uni of Sci & Tech,MATH 4425,Introductory Time Series,ST4253
Karolinska Institute,1BI 043,Biostatistics,LSM2234
Karolinska Institute,1BI 040,Tissue Biology,LSM3991
Karolinska Institute,1BI 044,Life Science Industry,LSM3994
Karolinska Institute,1BI 047,Pathology,LSM3994
King's College London,5BBA 2300,Essentials of Embryology,LSM3233
King's College London,6BBYG 305,Medical Genetics,LSM3991
King's College London,5BBG 0205,Molecular Basis of Gene Expression,LSM3991
Boston College,MFIN 1021-07,fundamentals of finance,SX2997
King's College London,6BBB 0345,Molecular Genetics of Model Organisms,LSM3991
King's College London,6BBL 0325,Biology of Ageing,LSM4210
King's College London,5BBL 0227,Introduction to Stem Cells,LSM4227
King's College London,6BBL 0344,Introduction to Regenerative Medicine,LSM4227
King's College London,MATH 5CCM121B,Introduction To Algebra,MA2202
King's College London,MATH 5CCM224A,Introduction To Number Theory,MA3265
King's College London,PHILO 4AAT1006,"New Testament: Origins, Contexts and Meanings",SX3981
King's College London,PHILO 5AAT2006,An Introduction To The Doctrine Of The Person Of Christ,SX3982
King's College London,PHILO 5AAT2024,Martin Luther and the German Reformation,SX3983
Korea Adv Inst S&T (KAIST),CH 502,Quantum Chemistry I,CM3231
Boston University,ENG BF 527,Applications in Bioinformatics,LSM2241
Korea Adv Inst S&T (KAIST),CH 452,Introduction to Nanochemistry,CM3251
Korea Adv Inst S&T (KAIST),CH 471,Introduction to Polymer Chemistry,CM3252
Korea Adv Inst S&T (KAIST),CH 437,Structural determination and Comprehension of Organic Molecules,CM4225
Korea Adv Inst S&T (KAIST),BS 312,Evolution,LSM2107
Korea Adv Inst S&T (KAIST),BS 318,Developmental Biology,LSM3233
Korea Adv Inst S&T (KAIST),BIS452,Biomedical Imaging,LSM3234
Korea Adv Inst S&T (KAIST),BS 346,Animal Behaviour,LSM3267
Korea Adv Inst S&T (KAIST),BIS451,Cognitive Neuroscience,LSM3991
Korea Adv Inst S&T (KAIST),BIS400,Special Topics in Bio and Brain Engineering<Future Biotechnology : Can Sci-Fi become reality?>,LSM3991
Korea Adv Inst S&T (KAIST),BS 442,Stem Cell Biology,LSM4227
Boston University,CAS BI 410,Developmental Biology,LSM3233
Korea Adv Inst S&T (KAIST),PH 211,Mathematical Methods in Physics I,PC2174A
Korea University,LIST 305(03),Biochemistry I (English),CM3225
Korea University,LIST 305(01),BIOCHEMISTRY I (English),CM3225
Korea University,CHEM 321,QUANTUM CHEMISTRY,CM3231
Korea University,KMSE 317,SYNTHESIS OF POLYMERS(English),CM3252
Korea University,EAES 407,EAES407 Global Element Cycle,CM3261
Korea University,ENGY 301,ENERGY ELECTROCHMISTRY(English,CM3991
Korea University,CHEM 453,ORGANIC SPECTROSCOPY(English),CM4225
Korea University,ENGY 204,INTRODUCTION TO ENERGY SCIENCE AND TECHNOLOGY(English),CM4282
Korea University,KMSE 415,INTRODUCTION TO ENERGY/ENVIRONMENT MATERIALS(English),CM4282
Boston University,CASBI 225,Behavioural Biology,LSM3267
Korea University,IWC 293,Introduction to Computer Science,COS1000
Korea University,MECH 457,NUMERICAL ANALYSIS,DSA2102
Korea University,LIFS 466,FOOD TOXICOLOGY(English),LSM3991
Korea University,LIST 204,MICROBIOLOGY II (ENGLISH),LSM3991
Korea University,LIFS 323(00),Food Analysis (English),LSM3991
Korea University,LIFS 219(00),Food Microbiology I (English),LSM3991
Korea University,BSMS 404(00),Molecular Pathological Epidemiology (English),LSM3991
Korea University,MATH IWC112,Linear Algebra,MA2001
Korea University,IWC 101,Calculus I,MA2002
Korea University,IWC 207,Statistics,ST1131
Boston University,CAS BI 327,Cancer Biology,LSM3991
Aarhus University,BIOLOGY 515151U007,Behavioural Biology,LSM3267
Korea University,STAT 232,MATHEMATICAL STATISTICS,ST2132
Korea University,LESE 207,APPLIED ECONOMETRICS(English),ST3131
Korea University,ECON 301(02),ECONOMETRICS I(English),ST3131
Korea University,IWC 356,Big Data Analytics,ST3248
Korea University,IWC 420,Introduction to Artificial Intelligence,SX2996
KTH Royal Inst of Technology,SF 2822,Applied Nonlinear Optimization,DSA3102
KTH Royal Inst of Technology,FSF 3847,Convex Optimization with Engineering Applications,DSA3102
KTH Royal Inst of Technology,SF 2526,Numerical algorithms for data-intensive science,DSA4212
KTH Royal Inst of Technology,DD 2417,Language Engineering,DSA4213
KTH Royal Inst of Technology,SF 1686,Calculus in Several Variable,MA2104
Boston University,SAR HS 395,"Food, Supplements, and Consumer Health",LSM3991
KTH Royal Inst of Technology,SF 1626,Calculus in Several Variables,MA2104
KTH Royal Inst of Technology,SF 2930,Regression Analysis,ST3131
KTH Royal Inst of Technology,SF 2935,Modern Methods of Statistical Learning,ST3248
KTH Royal Inst of Technology,SF 2957,Statistical Machine Learning,ST4248
KTH Royal Inst of Technology,SF 2943,Time Series Analysis,ST4253
Kyoto University,Z0 02014,ILAS Seminar-E2 :Introduction to Human Genetics and Genetic Disease,LSM3992
LaTrobe University,GEN 2EGE,ECOLOGICAL GENETICS AND EVOLUTION,LSM3252
LaTrobe University,AGR 2ILS,INTRODUCTION TO LAND AND SOIL MANAGEMENT,LSM3255
LaTrobe University,BOT 2PDE,PLANT DIVERSITY AND ECOLOGY,LSM3258
LaTrobe University,EEE3 ANB,ANIMAL BEHAVIOUR,LSM3267
Boston University,SAR HS 251,Human Nutrition Science,LSM3991
LaTrobe University,ZOO 2FE,AUSTRALIAN FAUNA AND ECOLOGY,LSM3267
LaTrobe University,ENV3 ESB,ENDANGERED SPECIES BIOLOGY AND MANAGEMENT,LSM3272
LaTrobe University,SPE 1FEP,Foundations of Exercise Programming,LSM3991
LaTrobe University,AGR1 AAS,INTRODUCTION TO ANIMAL AND AGRICULTURAL SCIENCES,LSM3991
LaTrobe University,AGR 1AAS,Introduction to Animal and Agricultural Sciences,LSM3991
LaTrobe University,GEN 3001,GENETIC MODELS OF HUMAN DISEASE AND DEVELOPMENT,LSM4228
LaTrobe University,ENV 3ESB,ENDANGERED SPECIES BIOLOGY AND MANAGEMENT,LSM4262
Leiden Uni Medical Ctr (LUMC),3112 09700Y,Biomedical Academic Scientific Training for exchange students,LSM2996
Leiden Uni Medical Ctr (LUMC),3112 00130Y,Design and Analysis of Biomedical Studies,LSM3991
Leiden Uni Medical Ctr (LUMC),3112 00130Y-2,MOOC Population Health: Responsible Data Analysis,LSM3991
Boston University,CAS BI 551,Biology of Stem Cells,LSM4227
Leiden Uni Medical Ctr (LUMC),3112 00130Y-1,MOOC Population Health: Study Design,LSM3991
Leiden Uni Medical Ctr (LUMC),ZXX 311200140Y,"Physiology, Basic Concepts",LSM3991
Leiden Uni Medical Ctr (LUMC),3112 01200Y,Applied Electrophysiology for Exchange students,LSM3994
Leiden Uni Medical Ctr (LUMC),3112 0120Y,Applied Electrophysiology for Exchange students,LSM3994
Leiden Uni Medical Ctr (LUMC),3127 EXC01Y,Communication in Science for Exchange Students,LSM3994
Leiden Uni Medical Ctr (LUMC),3112 EXC01Y,Communications in Science for Exchange Students,LSM3994
Leiden Uni Medical Ctr (LUMC),ZXX 311209700Y,Biomedical Academic Scientific Training for exchange students,LSM3995
Leiden Uni Medical Ctr (LUMC),ZXX 3127EXC01Y,Communication in Science for Exchange Students,LSM3995
Leiden University,4042 METC4,Chemical Energy Transition: From Nanoscience to Technology,CM3991
Leiden University,4042 MAEM5Y,Anthropocene: The Era of Man,CM3992
Brandeis University,BIOL103B,Mechanisms of Cell Functions,LSM3243
Leiden University,4042 MGRCH,GREEN CHEMISTRY,CM4269
Leiden University,4042 SCINF,Sustainable Chemical Industry based on Non-Fossil Feedstocks,CM4269
Leiden University,4042 METP4,Energy Transition: Photon Power,CM4282
Leiden University,BSSO3 4603,Systems Optimisation,DSA4212
Leiden University,4022 MEE22,Microbial Evolution & Ecology,LSM2991
Leiden University,4061 CPHOCY,Complex Physics of Cooking,PC1991
Leiden University,LAGLM 4433,Linear & generalized linear models and linear algebra,ST3131
Leiden University,4433 LGLM6,Linear and Generalized Linear Models,ST3131
Leiden University,DATM6 4032,Data Mining,ST3248
Leiden University,4042 ESUSI,Examples from Sustainable Industry,SX2884
Brandeis University,BIOL160B,Human Reproductive and Developmental Biology,LSM4252
Leiden University,4042 GPSCBY,Group project in Sustainable Chemistry and Biotechnology,SX2995
Ludwig-Maximilians-Uni Munich,BIO 19435,P 1.3 and P 1.4 Statistics,ST2132
Lund University,FMA N61,Optimization,DSA3102
Lund University,MAS M22,Mathematical Statistics: Linear and Logistic Regression,ST3131
Lund University,MAS C05,Mathematical Statistics: Design of Experiments,ST3232
Lund University,MAS M11,Mathematical Statistics: Monte Carlo Methods for Statistical Inference,ST3247
Lund University,STA E03,Statistics: Business Analytics,ST3248
Management Center Innsbruck,BLT_BA_ 5_1,Plant & Process Engineering/Measurement Technique,FST3103
Management Center Innsbruck,BLT_BA_ 5_13B,Sensory science and culinary pleasure,FST3107
Management Center Innsbruck,BLT_BA_ 5_11,Hygiene in the food industries,FST3108
Brandeis University,BIOL17B,Conservation Biology,LSM4262
Management Center Innsbruck,BLT_BA_ 5_3,Quality assurance in the food industry,FST3112
Management Center Innsbruck,BLT_BA_ 5_18,Project Food Tech & Systems,FST4104
Management Center Innsbruck,BLT_BA_5_5,Beverage Technology,FST4991
McGill University,FDSC 200,Introduction to Food Science,FST1991
McGill University,CHEM 181,World of Chemistry: Food,FST1991
McGill University,ANSC 250,Principles of Animal Science,FST2991
McGill University,BREE 325,Food Process Engineering,FST3103
McGill University,FDSC 300,Principles of Food Analysis 1,FST3111
McGill University,NUTR 501,Nutrition in Developing Countries,FST3202
McGill University,NUTR 341,Emerging Issues in Nutrition,FST3205
Case Western Reserve Uni,CHEM 328,Introductory Biochemistry I,CM3225
McGill University,NUTR 511,Nutrition and Behaviour,FST3205
McGill University,FDSC 405,Food Product Development,FST4104
McGill University,ATOC 183,Climate and Climate Change,LSM1991
McGill University,ESYS 104,The Earth System,LSM1991
McGill University,BIOL 202,Basic Genetics,LSM2105
McGill University,BIOL 303,Developmental Biology,LSM3233
McGill University,BIOL 314,Molecular Biology of Cancer,LSM3991
McGill University,MATH 387,Honours Numerical Analysis,MA2213
McGill University,MATH 317,Numerical Analysis,MA2213
McGill University,MATH 315,Numerical Analysis,MA2213
Case Western Reserve Uni,CHEM 336,Physical Chemistry II,CM3231
McGill University,MATH 316,Complex Variables,MA3211
McGill University,MATH 466,Honours Complex Analysis,MA3211
McGill University,MATH 249,Honours Complex Variables,MA3211
McGill University,MATH 325,Honours Ordinary Differential Equations,MA3220
McGill University,MATH 263,Ordinary Differential Equations for Engineers,MA3220
McGill University,MATH 378,Nonlinear Optimization,MA3236
McGill University,MATH 447,Introduction to Stochastic Processes,MA3238
McGill University,MATH 417,Linear Optimization,MA3252
McGill University,MATH 377,Honours Number Theory,MA3265
McGill University,MATH 346,Number Theory,MA3265
Case Western Reserve Uni,CHEM 325,Physical Methods for Determining Organic Structure,CM4225
McGill University,CHEM 503,Drug Discovery,PHS4991
McGill University,PHAR 504,Drug Discovery and Development 2,PHS4991
McGill University,PHAR 301,Drugs and Disease,PHS4991
McGill University,MATH 308,Fundamentals of Statistical Learning,ST3248
Monash University,DEV 2011,DEV2011 - Early human development from cells to tissues,LSM3233
Monash University,HUP 3011,Human pathology 1: Understanding disease processes,LSM3991
Monash University,GEN 3040,Genomics and its applications,LSM3992
Monash University,MIC 3041,Medical microbiology,LSM3993
Monash University,BPS 3011,Disease-focused pharmacology,PHS3991
Monash University,BPS 2042,Drug Devleopment,PHS3992
Case Western Reserve Uni,CHEM 351,Bioorganic and Environmental Photochemistry,CM4991
Aarhus University,BIOLOGY 515202U008,Global Change Biology,LSM3272
Monash University,PHA 3990,PHA3990 - Action in pharmacology research project,PHS3994
Monash University,BPS 3051,Pharmaceutical Product Development,PHS3994
Monash University,BPS 3031,Computational drug design,PHS4991
Nagoya University,068 2140,Plant Physiology,LSM2254
Nagoya University,068 2280,Physiology and Developmental Biology,LSM3233
Nagoya University,068 0120,Biophysics,LSM3243
Nanyang Technological Uni,BS BS4017,HIGH-THROUGHPUT BIOINFORMATICS,LSM2241
Nanyang Technological Uni,AAB 20C,Animal Evolution and Diversity,LSM2252
Nanyang Technological Uni,BS 3018,PLANT BIOLOGY,LSM2254
Nanyang Technological Uni,BS 3003,Developmental Biology,LSM3233
Catholic Uni the Sacred Heart,ILK 068,Food technology,FST3107
Nanyang Technological Uni,BG 3104,Biomedical Imaging,LSM3234
Nanyang Technological Uni,BS 1002,Biophysical Chemistry,LSM3243
Nanyang Technological Uni,BS 3024,Evolution in Health and Disease,LSM3252
Nanyang Technological Uni,BS 3001,Neurobiology,LSM3991
Nanyang Technological Uni,SS 5002,Principles of Strength Training,LSM3991
Nanyang Technological Uni,BS 3022,Protein Trafficking,LSM3991
Nanyang Technological Uni,BS 3027,LIGHT & BIOMOLECULE BEHAVIOR IN HEALTH & DISEASE,LSM4231
Nanyang Technological Uni,BG 4215,Biomedical Nanotechnology,LSM4991
Nanyang Technological Uni,MH 1200,Linear Algebra I,MA2001
Nanyang Technological Uni,MH 3701,Basic Optimization,MA3252
Catholic Uni the Sacred Heart,ILK 072,Food Safety,FST3108
Nanyang Technological Uni,MH 3511,DATA ANALYSIS WITH COMPUTER,ST2137
Nanyang Technological Uni,MH 3510,Regression Analysis,ST3131
Nanyang Technological Uni,MH 3512,STOCHASTIC PROCESSES,ST3236
Nanyang Technological Uni,SC 4054,SIMULATION & MODELLING,ST3247
Nanyang Technological Uni,MH 4512,Clinical Trials,ST4241
Nanyang Technological Uni,MH 4501,Multivariate Analysis,ST4250
Nanyang Technological Uni,MH 4513,SURVIVAL ANALYSIS,ST4252
Nanyang Technological Uni,MH 4500,TIME SERIES ANALYSIS,ST4253
National Taiwan University,MATH 2113,Introduction to Algebra(I),MA2202
National Taiwan University,MATH 3604,Introduction to Computational Mathematics,MA2213
Catholic Uni the Sacred Heart,IHN 354,Advanced Food Technology,FST4991
National Taiwan University,MATH 5178,Algebra(Honor Program)(I),MA3201
National Taiwan University,MATH 2213,Introduction to Mathematical Analysis(I),MA3210
National Taiwan University,MATH 5230,Introduction to Complex Analysis,MA3211
National Taiwan University,MATH 2217,Introduction to Ordinary Differential Equations,MA3220
National Taiwan University,MATH 5356,Introduction to Geometry,MA4271
National Tsing Hua University,ICMS 650200,Optimization Theory,DSA3102
National Yang Ming Chiao Tung,ZXX 536808,Advanced Organic Chemistry(II),CM3222
National Yang Ming Chiao Tung,SCMS 30025,Special Topics in Physical and Biological Photochemistry,CM4236
National Yang Ming Chiao Tung,ZXX 536852,Optical Manipulation and Nanoscopy,CM4991
National Yang Ming Chiao Tung,EECN 30124,Optimization Theory,DSA3102
Catholic Uni the Sacred Heart,IHN 356,MITIGATION OF RISK IN FOOD PRODUCTION,FST4992
National Yang Ming Chiao Tung,SCIS 30023,Mathematical Statistics,ST2132
National Yang Ming Chiao Tung,STAT 511000,Mathematical Statistics,ST2132
National Yang Ming Chiao Tung,STAT 541000,Linear Models,ST3131
National Yang Ming Chiao Tung,SCIS 30072,Regression Analysis,ST3131
National Yang Ming Chiao Tung,MAC 9026,Regression Analysis (IB),ST3131
National Yang Ming Chiao Tung,EEEC 20102,Lab on Python for data science and machine learning,SX2882
National Yang Ming Chiao Tung,HKHS 20002,Taiwan Society and Culture,SX2996
Northwestern University,MATH 331-2,MENU: Abstract Algebra,MA3201
Northwestern University,MATH 344-1,Introduction to Topology,MA3209
Northwestern University,MATH 382-0,Complex Analysis for ISP,MA3211
CentSup - Ecole Centrale Paris,2CC 3005,Optimisation-DUAL,DSA3102
Northwestern University,MA 310-2,Probability and Stochastic Processes,MA3238
Northwestern University,MATH 368-0,Introduction to Optimization,MA3252
Norwegian U of Sci&Tech (NTNU),BI 3040,Behavioural Ecology,LSM3267
Norwegian U of Sci&Tech (NTNU),BI 2080,Global Change Biology,LSM3272
Norwegian U of Sci&Tech (NTNU),BI 3084,Applied Population Dynamics for Conservation and Management,LSM3991
Norwegian U of Sci&Tech (NTNU),BI 1009,Fish health and welfare,LSM3991
Norwegian U of Sci&Tech (NTNU),BI 2060,Marine Ecology,LSM4261
Peking University,N.A. 04833410,Convex Analysis and Optimization Methods,DSA3102
Peking University,NXX 00136720,Algorithms for Big Data Analysis,DSA4212
Peking University,YP 04632033,Natural Language Processing with deep learning,DSA4213
CentSup - Ecole Centrale Paris,1CC 3000,Model representation and analysis,MA4270
Peking University,NA 00130560,Introduction to Numerical Analysis,MA3227
Peking University,N.A. 00130200,Mathematical Modeling,MA3264
Peking University,FIN 00136730,Fundamentals of Financial Derivatives,QF3101
Peking University,MA 00136730,Fundamentals of Financial Derivatives,QF4103
Peking University,N.A. 00133110,Applied Regression Analysis,ST3131
Peking University,MATH 00133090,Applied Stochastic Processes,ST3236
Peking University,STAT 00133090,Applied Stochastic Processes,ST3236
Peking University,MA/ST 00135810,Life Insurance Actuarial Science,ST3246
Peking University,MATH 00102892,Statistical Learning,ST3248
Peking University,N.A. 00102892,Statistical Learning,ST3248
CentSup - Ecole Centrale Paris,2EL 1710,Advanced Probabilities,ST3236
Peking University,MATH 00102516,Statistical Models and Computing Methods,ST4231
Peking University,NA 00100877,Bayesian Theory and Computation,ST4234
Peking University,- 02500184,Data Analysis in Investment,ST4245
Peking University,MATH 00103351,Advanced Multivariate Statistical Analysis,ST4250
Peking University,MATH 00131100,Financial Time Series Analysis,ST4253
Peking University,STATS 02535320,Applied Time Series Analysis,ST4253
Pohang Uni of Sci & Technology,CSED 700H,Convex Optimization,DSA3102
Pohang Uni of Sci & Technology,EVSE 680G,Environmental Ecology,LSM2251
Pohang Uni of Sci & Technology,LIFE 516,Plant Molecular Cell Biology,LSM2254
Pohang Uni of Sci & Technology,LIFE 327,Stem Cells and Development,LSM3233
CentSup - Ecole Centrale Paris,2EL 1730,Machine Learning,ST3248
Pohang Uni of Sci & Technology,LIFE 514,Mocular Imaging,LSM3234
Pohang Uni of Sci & Technology,LIFE 619,Bioinformatics,LSM3241
Pohang Uni of Sci & Technology,PMSE 530,Basic Clinical Pathology,LSM3991
Pohang Uni of Sci & Technology,LIFE 315,Genetics,LSM3991
Pohang Uni of Sci & Technology,MATH 102,Calculus II,MA2104
Pohang Uni of Sci & Technology,MATH 200,Differential Equations,MA2991
Pohang Uni of Sci & Technology,MATH 261,Discrete optimization,MA3252
Pohang Uni of Sci & Technology,MATH 230,Probability & Statistics,ST2334
Pohang Uni of Sci & Technology,MATH 533,Regression Analysis,ST3131
Pohang Uni of Sci & Technology,MATH 432,Mathematical Data Science,ST3248
CentSup - Ecole Centrale Paris,2EL 6190,Bayesian methods for machine learning,ST4234
Princeton University,MAT 300,Multivariable Analysis 1,MA2104
Princeton University,ORF 309,Probability and Stochastic Systems,MA2116
Princeton University,MAT 385,Probability Theory,MA2116
Princeton University,MAT 345,Algebra,MA2202S
Princeton University,MAT 425,Analysis III: Integration Theory and Hilbert Spaces,MA4262
Princeton University,MAT 320,Introduction to Real Analysis,MA4262
Princeton University,PHY 301,Thermal Physics,PC2135
Princeton University,PHY 305,Introduction to the Quantum Theory,PC3130
Princeton University,PHY 525,Introduction to Condensed Matter Physics,PC3235
Princeton University,ECE 453,Optical and Quantum Electronics,PC3247
CentSup - Ecole Centrale Paris,2EL 2150,Corporate Finance and Law,SX2991
Aarhus University,BIOLOGY 555171U011,From Cell to Organism,LSM3991
Princeton University,PHY 303,Advanced Dynamics,PC3261
Princeton University,PHY 408,Modern Classical Dynamics,PC3261
Princeton University,PHY 511,Statistical Mechanics,PC4241
Princeton University,PHY 511,Statistical Mechanics,PC4241
Princeton University,PHY 981,Junior Independent Work,PC4991
Purdue University,STAT 41700,STATISTICAL THEORY,ST2132
Purdue University,STAT 51200,APPLIED REGRESSION ANALYSIS,ST3131
Purdue University,MA 53200,ELEMENTS OF STOCHASTIC PROCESSES,ST3236
Queen's University at Kingston,MATH 434,Optimization Theory with Applications to Machine Learning,DSA3102
Queen's University at Kingston,ENSC 321,Environmental Justice In A Global Context,ENV3991
CentSup - Ecole Centrale Paris,2EL 2120,Design Science,SX2991
Queen's University at Kingston,BIOL 331,Analytical Genomics,LSM3241
Queen's University at Kingston,BIOL 350,Evolution and Human Affairs,LSM3252
Queen's University at Kingston,BIOL 206,Evolutionary Genetics,LSM3252
Queen's University at Kingston,BIOL 343,Data Analysis for Biologists,LSM3257
Queen's University at Kingston,BIOL 321,Animal Behaviour,LSM3267
Queen's University at Kingston,BIOL 322,Experimental Approaches to Animal Physiology,LSM3267
Queen's University at Kingston,ENSC 103,Environment and Sustainability,LSM3272
Queen's University at Kingston,BIOL 442,Evolutionary Medicine,LSM3991
Queen's University at Kingston,BIOL 316,Fisheries Biology,LSM3991
Queen's University at Kingston,BIOL 369,Sex and Evolution,LSM3991
CentSup - Ecole Centrale Paris,2EL 1110,Dynamical systems in neuroscience,SX2992
Queen's University at Kingston,BCHM 410,Protein Structure and Function,LSM4231
Queen's University at Kingston,BIOL 410,Ecology of Lakes and Streams,LSM4264
Queen's University at Kingston,PHAR 380,PHAR 380 Drug and Environmental Toxicology,PHS4991
Queen's University at Kingston,STAT 263,Introduction to Statistics,ST1131
Queen's University at Kingston,STAT 361,Applied Methods in Statistics I,ST3131
Queen's University at Kingston,STAT 455,Stochastic Processes and Application,ST3236
Queen's University at Kingston,STAT 462,Statistical Learning I,ST3248
Queen's University at Kingston,STAT 464,Discrete Time Series Analysis,ST4253
Radboud University Nijmegen,NWI-MOL 165,Biochemistry 2,CM3225
Radboud University Nijmegen,NWI-MOL 111,Biophysical Chemistry,CM3225
CentSup - Ecole Centrale Paris,2EL 1720,Distributions and operators,SX2993
Radboud University Nijmegen,NWI-MOL 174,Computational and Quantum (or theoretical) Chemistry 1,CM3296
Radboud University Nijmegen,NWI-MOL 176,Computational and Theoretical Chemistry 2,CM3296
Radboud University Nijmegen,NWI-MOL 0592,Molecular Modelling Theory & Practice,CM3296
Radboud University Nijmegen,NWI-MOL 169,Catalysis,CM4228
Radboud University Nijmegen,NWI-MOL 096,Metal-Organic Chemistry,CM4228
Radboud University Nijmegen,NWI-MOL 054,Toxicology,CM4991
Radboud University Nijmegen,NWI BB064B,Functional Genomics,LSM3220
Radboud University Nijmegen,NWI BB047C,Medical Embryology,LSM3233
Radboud University Nijmegen,NWI BB081B,Cognitive Neuroimaging,LSM3991
Radboud University Nijmegen,NWI BB048B,Endocrinology,LSM3991
CentSup - Ecole Centrale Paris,2SL 1000,Economics,SX2994
Radboud University Nijmegen,NWI BB094,Neurons and Synapses,LSM3991
Radboud University Nijmegen,NWI BB025B,Principles and Practice of Human Pathology,LSM3991
Radboud University Nijmegen,NWI MOL055,Molecular Basis of Diseases,LSM4210
Radboud University Nijmegen,MAN BCU3022,Investment Management,QF3101
Radboud University Nijmegen,STAR NIL,Stochastic Processes,ST3236
Radboud University Nijmegen,NWI WM161B,Monte Carlo Methods,ST4231
Radboud University Nijmegen,ML BSF23,Bayesian Stastitics,ST4234
Radboud University Nijmegen,SOW BKI203,Bayesian Statistics,ST4234
Radboud University Nijmegen,SOW MKI69,Probabilistic Deep Learning,ST4248
Seoul National University,M2744 000300,Plant Cell Biology,LSM2254
CentSup - Ecole Centrale Paris,2SL 8000,Project S7,SX2995
Seoul National University,3346 401,Evolutionary Biology,LSM2991
Seoul National University,3346 409,Introduction to Animal Behavior,LSM3267
Seoul National University,034 028,Biology 2,LSM3991
Shanghai Jiao Tong University,MATH 3806,Optimization Methods,DSA3102
Shanghai Jiao Tong University,MA 280,MA280 Probability,MA2116
Shanghai Jiao Tong University,AST 1601,Modern Astronomy,PC2991
Shanghai Jiao Tong University,MATH 3712,Statistical Learning,ST3248
Shanghai Jiao Tong University,MATH 3710,Statistics Software and Algorithm,ST4231
Shanghai Jiao Tong University,MATH 3706,Bayesian Statistics,ST4234
Shanghai Jiao Tong University,MATH 4701,Multivariate Statistical Analysis,ST4250
CentSup - Ecole Centrale Paris,2IN 1580,Artificial intelligence and global health,SX2996
Shanghai Jiao Tong University,MATH 4702,Time Series Analysis,ST4253
Simon Fraser University,BISC 204,Ecology,LSM2251
Simon Fraser University,BISC 333,DEVELOPMENTAL BIOLOGY,LSM3233
Simon Fraser University,HSCI 120,INTRODUCTION TO HUMAN SEXUALITY AND SEXUAL BEHAVIOR,LSM3991
Simon Fraser University,BISC 306,INVERTEBRATE BIOLOGY,LSM3991
Simon Fraser University,BISC 318,PARASITOLOGY,LSM3991
Singapore Management Uni,IS 450,Text Mining and Language Processing,DSA4213
Singapore Management Uni,QF 205,COMPUTING TECHNOLOGY FOR FINANCE,QF2103
Singapore Management Uni,QF 209,Machine learning in Quantitative Finance,QF2103
Singapore Management Uni,QF 206,Quantitative Trading Strategies,QF3991
CentSup - Ecole Centrale Paris,2SL 1100,Climate science and climate change issues,SX2996
Singapore Management Uni,COR-STAT 1203,Introduction to Statistical Theory,ST2132
Singapore Management Uni,STAT 312,Applied Regression Methods,ST3131
Singapore Management Uni,ST 310,Life Contingent Risks,ST3246
Singapore Management Uni,CS 420,Introduction to AI,ST3248
Singapore Management Uni,DSA 301,Time Series Data Analysis,ST4253
S'pore Uni of Tech and Design,ESD 40.002,Optimisation,MA3252
Stockholm University,GEOG KG2310,Challenges for Planning in the Global South,ENV3991
Stockholm University,BIOLOGY BL5013,Ethology I,ENV3991
Stockholm University,MK 3507,Environmental Communication,ENV4991
